ift;cdf
7.695198059082031;3.431826761385085e-05
7.72796630859375;0.00013727307045540343
7.760734558105469;0.000240227873296956
7.7935028076171875;0.0003775009437523595
7.826271057128906;0.00044613747898006117
7.859039306640625;0.0005147740142077629
7.891807556152344;0.0006520470846631663
7.9245758056640625;0.0008922749579601223
7.957344055175781;0.0011325028312570782
7.9901123046875;0.0017159133806925427
8.022880554199219;0.00199045952160335
8.055648803710938;0.0024022787329695604
8.088417053222656;0.002951371014791174
8.121185302734375;0.003637736367068191
8.153953552246094;0.004632966127869865
8.186721801757812;0.005422286282988435
8.219490051269531;0.007138199663680978
8.25225830078125;0.009883661072789048
8.285026550292969;0.014001853186451151
8.317794799804688;0.020556642300696662
8.350563049316406;0.031401214866673535
8.383331298828125;0.04862898520882667
8.416099548339844;0.07035244860839426
8.448867797851562;0.09681183293867328
8.481636047363281;0.12423212876214011
8.514404296875;0.15374583891005184
8.547172546386719;0.18494114417104227
8.579940795898438;0.21716599746044823
8.612709045410156;0.2518274477504376
8.645477294921875;0.2876557191392979
8.678245544433594;0.3240330828099798
8.711013793945312;0.3590720340437215
8.743782043457031;0.3949003054325818
8.77655029296875;0.42945880091972966
8.809318542480469;0.46346820412505585
8.842086791992188;0.4981296544150452
8.874855041503906;0.5283640481828478
8.907623291015625;0.5588386698239474
8.940391540527344;0.5889357905212945
8.973159790039062;0.6171454064998799
9.005928039550781;0.6457668416898316
9.0386962890625;0.6715741789354474
9.071464538574219;0.6972785613782216
9.104232788085938;0.7218847592573527
9.137001037597656;0.7453241360376128
9.169769287109375;0.7677339647894575
9.202537536621094;0.7889769724424311
9.235305786132812;0.810425889701088
9.268074035644531;0.8300216205085968
9.30084228515625;0.8495830330484918
9.333610534667969;0.8678060331514466
9.366378784179688;0.8853769861697383
9.399147033691406;0.900854524863585
9.431915283203125;0.9155427434023131
9.464683532714844;0.9287552764336457
9.497451782226562;0.9404578056899688
9.530220031738281;0.949174645663887
9.56298828125;0.9566560280037064
9.595756530761719;0.9637255911321597
9.628524780273438;0.9695596966265144
9.661293029785156;0.9740553896839288
9.694061279296875;0.9779676721919078
9.726829528808594;0.981845636432273
9.759597778320312;0.9841792786300149
9.792366027832031;0.9868904217715091
9.82513427734375;0.9893270187720925
9.857902526855469;0.9909056590823296
9.890670776367188;0.9923470263221114
9.923439025878906;0.9934795291533685
9.956207275390625;0.9946120319846256
9.988975524902344;0.9955043069425856
10.021743774414062;0.9962249905624765
10.054512023925781;0.9968084011119119
10.0872802734375;0.9972888568585059
10.120048522949219;0.9975634029994167
10.152816772460938;0.9978722674079413
10.185585021972656;0.9981468135488522
10.218353271484375;0.9984899962249907
10.251121520996094;0.9987302240982876
10.283889770507812;0.9989361337039707
10.316658020019531;0.9990390885068122
10.34942626953125;0.9992106798448815
10.382194519042969;0.999313634647723
10.414962768554688;0.9994509077181785
10.447731018066406;0.9995538625210201
10.480499267578125;0.9995881807886339
10.513267517089844;0.9996568173238616
10.546035766601562;0.9997254538590893
10.578804016113281;0.9997597721267032
10.611572265625;0.999794090394317
10.644340515136719;0.999794090394317
10.677108764648438;0.9998284086619308
10.709877014160156;0.9998627269295447
10.742645263671875;0.9998627269295447
10.775413513183594;0.9998627269295447
10.808181762695312;0.9998627269295447
10.840950012207031;0.9998970451971585
10.87371826171875;0.9999313634647724
10.906486511230469;0.9999313634647724
10.939254760742188;0.9999656817323862
