app_state;burst_size;cdf
1;2716.0;0.001145475372279496
1;2746.005;0.002290950744558992
1;2776.01;0.002290950744558992
1;2806.015;0.003436426116838488
1;2836.02;0.004581901489117984
1;2866.025;0.004581901489117984
1;2896.03;0.004581901489117984
1;2926.035;0.004581901489117984
1;2956.04;0.008018327605956471
1;2986.045;0.008018327605956471
1;3016.05;0.009163802978235968
1;3046.055;0.011454753722794959
1;3076.06;0.011454753722794959
1;3106.065;0.011454753722794959
1;3136.07;0.011454753722794959
1;3166.075;0.013745704467353952
1;3196.08;0.013745704467353952
1;3226.085;0.016036655211912946
1;3256.09;0.01718213058419244
1;3286.0950000000003;0.018327605956471937
1;3316.1;0.018327605956471937
1;3346.105;0.018327605956471937
1;3376.11;0.020618556701030927
1;3406.115;0.024054982817869417
1;3436.12;0.029782359679266898
1;3466.125;0.03321878579610539
1;3496.13;0.03780068728522337
1;3526.135;0.04352806414662085
1;3556.14;0.05040091638029783
1;3586.145;0.051546391752577324
1;3616.15;0.053837342497136315
1;3646.1549999999997;0.059564719358533795
1;3676.16;0.06529209621993128
1;3706.165;0.07101947308132875
1;3736.17;0.07674684994272624
1;3766.175;0.07789232531500573
1;3796.1800000000003;0.08247422680412371
1;3826.185;0.09278350515463918
1;3856.19;0.09736540664375716
1;3886.1949999999997;0.10423825887743414
1;3916.2;0.10996563573883161
1;3946.205;0.1156930126002291
1;3976.21;0.12485681557846506
1;4006.215;0.12943871706758306
1;4036.2200000000003;0.13172966781214204
1;4066.225;0.13974799541809851
1;4096.23;0.1443298969072165
1;4126.235;0.15349369988545247
1;4156.24;0.16151202749140894
1;4186.245;0.16953035509736541
1;4216.25;0.17983963344788087
1;4246.255;0.19014891179839633
1;4276.26;0.2016036655211913
1;4306.264999999999;0.2073310423825888
1;4336.27;0.21878579610538373
1;4366.275;0.2256586483390607
1;4396.28;0.22909507445589922
1;4426.285;0.22909507445589922
1;4456.29;0.22909507445589922
1;4486.295;0.23482245131729668
1;4516.3;0.24284077892325315
1;4546.305;0.25658648339060713
1;4576.3099999999995;0.26575028636884307
1;4606.315;0.27835051546391754
1;4636.32;0.2875143184421535
1;4666.325;0.30011454753722794
1;4696.33;0.3115693012600229
1;4726.335;0.3207331042382589
1;4756.34;0.3321878579610538
1;4786.344999999999;0.3402061855670103
1;4816.35;0.3539518900343643
1;4846.355;0.36426116838487976
1;4876.360000000001;0.3699885452462772
1;4906.365;0.3837342497136312
1;4936.37;0.39060710194730813
1;4966.375;0.3997709049255441
1;4996.38;0.40778923253150057
1;5026.385;0.42038946162657503
1;5056.389999999999;0.43184421534937
1;5086.395;0.43871706758304696
1;5116.4;0.45017182130584193
1;5146.405;0.45819014891179843
1;5176.41;0.46964490263459335
1;5206.415;0.47995418098510884
1;5236.42;0.4891179839633448
1;5266.424999999999;0.49713631156930127
1;5296.43;0.5063001145475372
1;5326.4349999999995;0.5200458190148912
1;5356.4400000000005;0.5326460481099656
1;5386.445;0.5452462772050402
1;5416.45;0.5509736540664376
1;5446.455;0.5567010309278351
1;5476.46;0.565864833906071
1;5506.465;0.5738831615120276
1;5536.469999999999;0.584192439862543
1;5566.475;0.588774341351661
1;5596.48;0.6002290950744559
1;5626.485000000001;0.6116838487972509
1;5656.49;0.6265750286368843
1;5686.495;0.6391752577319588
1;5716.5;0.6540664375715922
1;5746.505;0.6540664375715922
1;5776.51;0.6540664375715922
1;5806.514999999999;0.6575028636884307
1;5836.52;0.6643757159221076
1;5866.525;0.6735395189003437
1;5896.53;0.6872852233676976
1;5926.535;0.695303550973654
1;5956.54;0.709049255441008
1;5986.545;0.718213058419244
1;6016.549999999999;0.729667812142039
1;6046.555;0.7353951890034365
1;6076.5599999999995;0.7457044673539519
1;6106.5650000000005;0.7560137457044673
1;6136.57;0.7628865979381444
1;6166.575;0.7754868270332188
1;6196.58;0.7812142038946163
1;6226.585;0.7903780068728523
1;6256.59;0.7983963344788088
1;6286.594999999999;0.8052691867124857
1;6316.6;0.8098510882016037
1;6346.605;0.8201603665521192
1;6376.61;0.8258877434135167
1;6406.615;0.8361970217640321
1;6436.62;0.847651775486827
1;6466.625;0.8579610538373426
1;6496.629999999999;0.865979381443299
1;6526.635;0.8751431844215349
1;6556.639999999999;0.8808705612829324
1;6586.645;0.88659793814433
1;6616.65;0.8900343642611684
1;6646.655;0.8957617411225659
1;6676.66;0.8991981672394044
1;6706.665;0.9026345933562429
1;6736.67;0.9060710194730813
1;6766.674999999999;0.9106529209621993
1;6796.68;0.9175257731958764
1;6826.6849999999995;0.9221076746849943
1;6856.69;0.9289805269186713
1;6886.695;0.9301260022909508
1;6916.7;0.9312714776632303
1;6946.705;0.9347079037800687
1;6976.71;0.9392898052691867
1;7006.715;0.9392898052691867
1;7036.72;0.9438717067583048
1;7066.724999999999;0.9438717067583048
1;7096.73;0.9438717067583048
1;7126.735;0.9438717067583048
1;7156.74;0.9461626575028638
1;7186.745;0.9473081328751433
1;7216.75;0.9473081328751433
1;7246.755;0.9507445589919817
1;7276.76;0.9541809851088202
1;7306.764999999999;0.9564719358533792
1;7336.7699999999995;0.9576174112256587
1;7366.775;0.9599083619702177
1;7396.78;0.9633447880870561
1;7426.785;0.9679266895761741
1;7456.79;0.9702176403207331
1;7486.795;0.9702176403207331
1;7516.8;0.9702176403207331
1;7546.805;0.9725085910652921
1;7576.8099999999995;0.9747995418098512
1;7606.815;0.9770904925544102
1;7636.82;0.9770904925544102
1;7666.825;0.9770904925544102
1;7696.83;0.9793814432989691
1;7726.835;0.9793814432989691
