,Duration,Sum_Size,Term_Index
0,0.06666666666666665,33450,0
1,0.06772541999816895,33901,0
2,0.06716656684875488,34359,0
3,0.06455874443054199,34432,0
4,0.06671977043151855,34627,0
5,0.07121014595031738,33763,0
6,0.06778192520141602,34413,0
7,0.06757330894470215,34110,0
8,0.06201791763305664,35079,0
9,0.06774306297302246,34031,0
10,0.06886816024780273,33827,0
11,0.06147146224975586,33673,0
12,0.06696033477783203,35800,0
13,0.06577324867248535,34613,0
14,0.06664800643920898,34042,0
15,0.06739425659179688,33670,0
16,0.0659780502319336,33504,0
17,0.06973481178283691,35293,0
18,0.0662393569946289,34360,0
19,0.06885552406311035,33942,0
20,0.06374597549438477,34013,0
21,0.06676411628723145,34625,0
22,0.06009483337402344,34443,0
23,0.050408363342285156,34916,0
24,0.06838345527648926,34897,0
25,0.06126761436462402,35407,0
26,0.054444313049316406,34978,0
27,0.07664632797241211,34743,0
28,0.0796043872833252,31518,0
29,0.0862729549407959,34175,0
30,0.06779932975769043,36139,0
31,0.06804585456848145,33595,0
32,0.06444549560546875,34680,0
33,0.06666445732116699,26776,0
34,0.06844639778137207,36551,0
35,0.06788349151611328,34244,0
36,0.06611299514770508,34974,0
37,0.04274916648864746,33838,0
38,0.04221034049987793,35858,0
39,0.05599856376647949,35402,0
40,0.06711840629577637,33718,0
41,0.06528925895690918,35875,0
42,0.06924966011047218,31003,0
43,0.04357719421386719,34292,0
44,0.08908367156982422,33137,0
45,0.06560778617858887,34302,0
46,0.05754423141479492,29777,0
47,0.05950522422790527,33909,0
48,0.053574323654174805,33936,0
49,0.06563377380371094,34005,0
50,0.05353593826293945,27646,0
51,0.05777454376220703,35464,0
52,0.05915236473083496,34234,0
53,0.05393195152282715,34701,0
54,0.05623936653137207,34118,0
55,0.053420305252075195,33134,0
56,0.05034804344177246,30864,0
57,0.051812171936035156,34831,0
58,0.06633639335632324,33895,0
59,0.04982113838195801,34878,0
60,0.05271792411804199,34166,0
61,0.04939389228820801,34494,0
62,0.045510292053222656,34130,0
63,0.059163570404052734,32893,0
64,0.06259965896606445,35267,0
65,0.05567026138305664,33134,0
66,0.059221744537353516,34377,0
67,0.05781435966491699,33929,0
68,0.056214094161987305,34557,0
69,0.05202674865722656,34763,0
70,0.05528712272644043,34896,0
71,0.06154584884643555,31463,0
72,0.05611538887023926,34094,0
73,0.0579524040222168,34289,0
74,0.05706501007080078,33989,0
75,0.057054758071899414,34002,0
76,0.05814862251281738,34498,0
77,0.057129621505737305,33678,0
78,0.055748939514160156,33337,0
79,0.05827522277832031,35426,0
80,0.05351424217224121,32133,0
81,0.05374264717102051,28688,0
82,0.05805206298828125,33821,0
83,0.045484304428100586,34554,0
84,0.0639955997467041,31169,0
85,0.05491328239440918,35159,0
86,0.04432511329650879,34971,0
87,0.053388118743896484,30173,0
88,0.052892208099365234,34700,0
89,0.06119084358215332,33394,0
90,0.060840606689453125,33527,0
91,0.060881614685058594,34511,0
92,0.06632304191589355,33656,0
93,0.05826997756958008,33727,0
94,0.05672264099121094,33552,0
95,0.0587923526763916,34333,0
96,0.05521965026855469,32575,0
97,0.057346343994140625,34493,0
98,0.05675792694091797,33097,0
99,0.058417320251464844,35241,0
100,0.06062817573547363,34912,0
101,0.05966901779174805,34674,0
102,0.051026105880737305,34630,0
103,0.0673227310180664,34248,0
104,0.05149126052856445,34735,0
105,0.061885833740234375,34871,0
106,0.0691218376159668,33680,0
107,0.06390953063964844,36198,0
108,0.06622076034545898,30353,0
109,0.06675505638122559,34958,0
110,0.06710672378540039,34016,0
111,0.06215691566467285,32059,0
112,0.06554293632507324,34193,0
113,0.06379866600036621,34203,0
114,0.0632631778717041,33263,0
115,0.06677532196044922,31175,0
116,0.06655097007751465,31576,0
117,0.06779670715332031,32287,0
118,0.06756472587585449,35463,0
119,0.06482267379760742,33211,0
120,0.06333446502685547,34525,0
121,0.06652593612670898,32926,0
122,0.05956745147705078,33129,0
123,0.06185770034790039,33336,0
124,0.06223177909851074,34239,0
125,0.06615924835205078,34874,0
126,0.06390523910522461,34607,0
127,0.06511473655700684,34363,0
128,0.053134918212890625,33865,0
129,0.06644010543823242,33313,0
130,0.06697654724121094,34625,0
131,0.06395888328552246,35431,0
132,0.0669851303100586,35368,0
133,0.06396174430847168,30303,0
134,0.06561470031738281,31566,0
135,0.06955790519714355,34537,0
136,0.06504034996032715,34061,0
137,0.06501221656799316,33538,0
138,0.06619429588317871,34276,0
139,0.06661057472229004,33647,0
140,0.06645417213439941,33669,0
141,0.0673971176147461,31764,0
142,0.067657470703125,31712,0
143,0.06762552261352539,34759,0
144,0.06757187843322754,32286,0
145,0.06781744956970215,31034,0
146,0.0675959587097168,34498,0
147,0.06528449058532715,33116,0
148,0.06558942794799805,33567,0
149,0.06803441047668457,34252,0
150,0.06420183181762695,35859,0
151,0.06304383277893066,35302,0
152,0.07702279090881348,30927,0
153,0.06675434112548828,34638,0
154,0.06200766563415527,34409,0
155,0.06762075424194336,31404,0
156,0.06804585456848145,33495,0
157,0.06429266929626465,35288,0
158,0.06713652610778809,34393,0
159,0.06454658508300781,34238,0
160,0.06528663635253906,33656,0
161,0.06524229049682617,33435,0
162,0.06663727760314941,31192,0
163,0.0650930404663086,34580,0
164,0.07647490501403809,33569,0
165,0.06578755378723145,33642,0
166,0.06633853912353516,33873,0
167,0.06492996215820312,33765,0
168,0.06540656089782715,29166,0
169,0.06418013572692871,32681,0
170,0.06707525253295898,30841,0
171,0.07527589797973633,34262,0
172,0.06171083450317383,33718,0
173,0.07033705711364746,33598,0
174,0.0658254623413086,32432,0
175,0.06686258316040039,35747,0
176,0.06316614151000977,38636,0
177,0.0666208267211914,33000,0
178,0.06589484214782715,34539,0
179,0.0659933090209961,33527,0
180,0.06514954566955566,31809,0
181,0.06315398216247559,30679,0
182,0.06985831260681152,33696,0
183,0.0670778751373291,32869,0
184,0.06845664978027344,35885,0
185,0.06708574295043945,32301,0
186,0.0669252872467041,32698,0
187,0.06770539283752441,34141,0
188,0.06976008415222168,34869,0
189,0.06503582000732422,34379,0
190,0.06409907341003418,29416,0
191,0.06614875793457031,34571,0
192,0.06586813926696777,33837,0
193,0.06674504280090332,31666,0
194,0.07618522644042969,35230,0
195,0.0755472183227539,33182,0
